	LE6	LE7	LE8	LE9	LE10	LE11	LE12	LE13	LE14	LE15	LP1	LP2	LP3	LP4	LP5	LP6	LP7	LP8	LP9	LP10	LP11	LP12	LP13	LP14	LP15
	E14.5	E14.5	E14.5	E14.5	E14.5	E17.5	E17.5	E17.5	E17.5	E17.5	P0	P0	P0	P0	P0	P1	P1	P1	P1	P7	P7	P7	P21	P21	P21
PS 40:4	0.030930964	0.035008962	0.041716531	0.040108351	0.036045045	0.021762895	0.033016169	0.028032291	0.027230201	0.018554963	0.013104347	0.014466159	0.013401966	0.013115573	0.014456355	0.012728488	0.010888088	0.009284544	0.01188382	0.026739191	0.02976814	0.035283104	0.031045152	0.032019289	0.032398849
LPG14:0	5.10E-05	6.92E-05	5.29E-05	4.06E-05	3.98E-05	3.47E-05	3.71E-05	3.94E-05	3.48E-05	2.95E-05	4.78E-05	4.49E-05	5.80E-05	4.27E-05	4.29E-05	3.16E-05	6.08E-05	3.52E-05	6.29E-05	6.57E-05	6.45E-05	7.21E-05	4.56E-05	4.70E-05	4.91E-05
LPG16:0	3.08E-05	3.76E-05	4.26E-05	4.48E-05	3.98E-05	0.000130471	9.55E-05	0.000105044	8.43E-05	0.000115346	0.000900021	0.000926812	0.00101033	0.000753569	0.000636805	0.000422462	0.000951126	0.000644692	0.000948156	0.000593444	0.000534144	0.000708486	0.000677037	0.000699192	0.000759511
LPG18:0	1.28E-05	1.82E-05	1.73E-05	1.88E-05	1.30E-05	3.24E-05	3.09E-05	3.35E-05	2.10E-05	4.03E-05	0.000147385	0.000170076	0.000171444	0.000145413	0.000143722	0.00022198	0.000385848	0.000317059	0.000362454	0.000133759	0.00013373	0.00015038	0.000118402	0.000120512	0.000123026
LPG18:1	5.91E-05	8.11E-05	0.000122606	8.17E-05	6.90E-05	0.000213855	0.000158621	0.000223243	0.000148062	0.00019259	0.000607594	0.000514661	0.000597136	0.000519159	0.000541336	0.000392336	0.000736261	0.000555893	0.000716533	0.000321292	0.000285552	0.000337318	0.000228597	0.000255953	0.000274488
LPG18:2	6.04E-06	7.83E-06	7.35E-06	2.84E-06	7.33E-06	3.27E-05	2.50E-05	3.19E-05	2.00E-05	3.56E-05	9.77E-05	0.000107252	0.000108351	8.72E-05	0.000104608	0.000120396	0.00020901	0.000149072	0.00020071	0.000170544	0.00014413	0.000166828	0.000191453	0.000206187	0.000223233
LPG20:1	1.51E-06	2.51E-06	2.35E-06	4.37E-06	2.26E-06	4.68E-06	6.20E-06	7.85E-06	2.99E-06	7.97E-06	1.20E-05	1.08E-05	1.16E-05	7.90E-06	1.50E-05	5.27E-06	1.21E-05	7.36E-06	1.12E-05	4.17E-06	3.50E-06	5.28E-06	2.12E-06	2.71E-06	2.84E-06
LPG20:2	6.42E-06	9.08E-06	9.11E-06	8.51E-06	6.58E-06	7.64E-06	8.22E-06	1.15E-05	1.01E-05	1.05E-05	1.49E-05	1.29E-05	1.64E-05	9.64E-06	1.39E-05	1.72E-05	2.78E-05	1.68E-05	1.94E-05	2.59E-05	2.87E-05	3.42E-05	2.47E-05	1.95E-05	2.73E-05
LPG20:4	2.46E-06	2.82E-06	1.76E-06	1.31E-06	2.26E-06	5.48E-06	3.32E-06	5.23E-06	5.32E-06	5.16E-06	4.24E-05	4.81E-05	4.02E-05	3.55E-05	3.99E-05	4.07E-05	5.42E-05	4.13E-05	5.87E-05	4.84E-05	5.10E-05	6.24E-05	4.30E-05	4.25E-05	4.36E-05
PG34:3(16:1/18:2)	1.18E-07	9.69E-08	1.30E-07	2.07E-07	2.19E-07	7.46E-07	5.88E-07	5.29E-07	5.30E-07	7.66E-07	3.05E-06	2.81E-06	3.33E-06	2.80E-06	3.14E-06	2.05E-06	3.70E-06	3.17E-06	4.50E-06	1.45E-06	2.03E-06	1.85E-06	1.84E-06	1.36E-06	1.74E-06
PG34:2(16:0/18:2)	1.98E-05	3.20E-05	3.15E-05	3.10E-05	2.46E-05	0.000281827	0.000188992	0.000243702	0.000156543	0.000156799	0.000616084	0.000556088	0.000709773	0.000650227	0.000651128	0.000164685	0.000330341	0.000256003	0.00037127	0.000119884	0.000133919	0.000156893	0.000111067	0.000103876	0.000114903
PG36:3(18:1/18:2)	2.41E-05	3.35E-05	2.71E-05	2.77E-05	2.78E-05	0.000190165	0.000132763	0.00018891	0.00012442	0.000165027	0.000408166	0.000434698	0.000411951	0.000431537	0.00044168	0.000482243	0.000757447	0.000674936	0.000911882	0.000326912	0.000296747	0.000334422	0.000179505	0.000163048	0.000184771
PG36:2(18:0/18:2)	2.26E-05	2.91E-05	2.50E-05	2.57E-05	2.61E-05	5.18E-05	3.86E-05	4.79E-05	3.05E-05	4.34E-05	0.000108823	0.000127321	0.000107392	0.000114691	0.000120806	0.000174875	0.000253421	0.000225167	0.000311047	0.00015101	0.000157944	0.000185884	0.000162875	0.00016217	0.000185064
PG36:4(16:0/20:4)	4.60E-05	5.79E-05	5.77E-05	5.25E-05	5.55E-05	0.000207511	0.000131664	0.000172818	0.000118779	0.000196364	0.001822193	0.001908113	0.001630535	0.001752516	0.001580253	0.000960377	0.001613197	0.001458985	0.001776459	0.002097365	0.002454013	0.002785763	0.002248874	0.002222512	0.002564641
PG36:4(16:1/20:3)	3.84E-05	4.85E-05	4.51E-05	3.59E-05	4.37E-05	4.34E-05	4.46E-05	5.40E-05	2.70E-05	4.26E-05	5.35E-05	5.30E-05	4.96E-05	4.58E-05	4.33E-05	2.99E-05	4.62E-05	3.42E-05	4.44E-05	6.24E-05	8.26E-05	8.65E-05	7.80E-05	8.13E-05	0.000101055
PG36:3(16:0/20:3)	1.23E-05	1.62E-05	1.27E-05	1.36E-05	1.42E-05	4.23E-05	2.47E-05	3.47E-05	2.33E-05	4.00E-05	0.00019851	0.00019515	0.000134223	0.000200837	0.000158881	0.000116187	0.000209754	0.000153951	0.000222433	0.000333757	0.000364546	0.000422114	0.000333955	0.000319193	0.000358792
PG38:6(16:0/22:6)	3.17E-06	6.11E-06	5.34E-06	4.30E-06	4.25E-06	6.20E-05	3.76E-05	5.80E-05	3.77E-05	5.77E-05	0.000401935	0.000401587	0.000325344	0.000396077	0.00037454	0.000283426	0.000432925	0.000421623	0.000548643	0.000492182	0.000526511	0.000520164	0.000613304	0.000595362	0.000709938
PG38:6(16:1/22:5)	2.71E-05	2.93E-05	3.02E-05	2.29E-05	2.66E-05	2.35E-05	2.27E-05	3.00E-05	1.90E-05	2.77E-05	2.85E-05	2.70E-05	2.25E-05	2.10E-05	2.61E-05	2.15E-05	2.59E-05	2.68E-05	2.70E-05	7.12E-05	8.46E-05	8.46E-05	6.65E-05	5.78E-05	8.44E-05
PG38:6(18:2/20:4)	6.47E-06	9.44E-06	7.97E-06	6.98E-06	7.05E-06	1.37E-05	1.25E-05	1.51E-05	1.03E-05	1.43E-05	3.02E-05	3.30E-05	2.93E-05	2.74E-05	3.14E-05	3.53E-05	5.15E-05	4.37E-05	4.98E-05	2.97E-05	2.78E-05	3.24E-05	2.01E-05	2.12E-05	2.32E-05
PG38:5(16:0/22:5)	3.00E-06	4.36E-06	2.87E-06	3.25E-06	2.92E-06	5.23E-05	3.01E-05	4.55E-05	3.01E-05	4.73E-05	0.000229934	0.000239089	0.00017946	0.000187264	0.000195492	0.000223615	0.000340128	0.000290995	0.000351581	0.000858087	0.000864505	0.000958098	0.000925334	0.00088755	0.001033989
PG38:5(18:1/20:4)	1.11E-05	1.87E-05	1.49E-05	1.34E-05	1.28E-05	6.44E-05	4.28E-05	6.25E-05	4.59E-05	5.96E-05	0.000376168	0.000419425	0.000358665	0.000389318	0.000359886	0.000369161	0.000566343	0.000537053	0.000596413	0.000205202	0.000186683	0.000218233	0.000125488	0.000121243	0.000144073
PG38:4(18:0/20:4)	3.53E-05	4.89E-05	4.29E-05	3.94E-05	3.44E-05	7.32E-05	5.76E-05	7.61E-05	5.66E-05	8.30E-05	0.000357555	0.000371486	0.000290225	0.000340069	0.000327102	0.000407518	0.000569655	0.000507622	0.000646942	0.000400963	0.000399746	0.000470718	0.000387925	0.000388182	0.000437361
PG38:3(18:0/20:3)	6.29E-06	8.99E-06	7.64E-06	6.15E-06	7.05E-06	1.43E-05	1.20E-05	1.70E-05	1.07E-05	1.37E-05	4.23E-05	4.01E-05	3.59E-05	4.07E-05	3.70E-05	3.76E-05	5.81E-05	5.13E-05	6.45E-05	5.86E-05	5.58E-05	6.59E-05	5.44E-05	5.08E-05	6.16E-05
PG32:2	1.71E-05	1.56E-05	2.53E-05	1.51E-05	1.53E-05	7.03E-05	6.16E-05	7.87E-05	5.41E-05	6.03E-05	0.000529487	0.000477831	0.000487726	0.000362177	0.000390216	0.000131489	0.000234107	0.000197745	0.000238575	0.000160077	0.000163885	0.000207607	0.000185778	0.00017866	0.000165375
PG32:1	5.91E-05	0.000104476	9.50E-05	8.73E-05	0.000102235	0.000923822	0.000740804	0.000885621	0.000607994	0.000918503	0.00705642	0.007643453	0.005866548	0.00553192	0.005352454	0.001908803	0.003735753	0.002952124	0.00419047	0.002394121	0.002783986	0.002918131	0.003106946	0.003044128	0.003273347
PG34:3	9.26E-06	2.89E-05	2.88E-05	1.59E-05	2.26E-05	8.76E-05	7.21E-05	7.56E-05	5.07E-05	9.97E-05	0.00026781	0.000333146	0.000283656	0.000205525	0.000236346	0.000212835	0.000312554	0.000239277	0.000346241	0.000306611	0.000335045	0.000325948	0.000437799	0.000431771	0.000384379
PG34:2	0.000115355	0.000142282	0.000170827	0.000182469	0.00016141	0.001171998	0.0008202	0.001109888	0.000735357	0.00099785	0.003165833	0.003885573	0.003281686	0.002495157	0.002775987	0.00296407	0.00457494	0.003526118	0.004439999	0.005206808	0.005406814	0.00562884	0.007468788	0.008463221	0.008535791
PG34:1	0.002080325	0.003051432	0.003534283	0.00358233	0.002778649	0.006358345	0.005212494	0.006084422	0.004051359	0.006197457	0.009002281	0.010639992	0.009837663	0.008934088	0.007996542	0.00708277	0.010197106	0.008550033	0.010862171	0.008636614	0.008647074	0.009435183	0.008005038	0.008698021	0.009141676
PG36:4	8.62E-05	0.000140054	0.000136832	0.000131251	0.000115382	0.000501263	0.000373772	0.000460179	0.000303107	0.00048979	0.003471036	0.004945109	0.00366849	0.003417138	0.003179026	0.002945373	0.00377333	0.003332574	0.004151138	0.00489247	0.005634081	0.00616027	0.004522993	0.004935684	0.00532999
PG36:3	5.91E-05	7.45E-05	6.97E-05	6.49E-05	7.30E-05	0.00056102	0.000414387	0.00048668	0.000376712	0.000518457	0.001415113	0.001970574	0.001486448	0.001467138	0.00148915	0.002065792	0.002579963	0.002308289	0.003190618	0.00157276	0.001639461	0.001844237	0.001060273	0.001190241	0.001229991
PG36:2	0.000284897	0.000293483	0.00038618	0.000325319	0.000311147	0.001287682	0.000975101	0.001238553	0.00079148	0.001122865	0.002767212	0.002793135	0.002749726	0.002580955	0.002785792	0.003177802	0.003944417	0.003857013	0.004821328	0.001835628	0.001945154	0.002148035	0.001293928	0.001378639	0.001548608
PG36:1	0.000240709	0.000343504	0.000405387	0.000320978	0.000300932	0.000535112	0.000539024	0.000573228	0.000391776	0.000596154	0.00099045	0.001126891	0.00097419	0.000962045	0.000987567	0.001250999	0.001522686	0.001405336	0.001735215	0.000817504	0.000892488	0.000942059	0.00054808	0.000562498	0.000674525
PG38:6	2.35E-05	4.00E-05	4.62E-05	3.89E-05	3.21E-05	0.000402804	0.000294625	0.000379766	0.000205133	0.000349942	0.002242506	0.00282017	0.00232478	0.002296241	0.002071448	0.002156297	0.003192487	0.002514892	0.003287158	0.003065184	0.003331411	0.003115343	0.0032992	0.003577234	0.003618388
PG38:5	2.71E-05	4.11E-05	3.66E-05	4.98E-05	3.50E-05	0.000307771	0.000239327	0.000302544	0.00018027	0.000250177	0.001326299	0.001766796	0.001383758	0.001402667	0.001347636	0.001814388	0.002455861	0.002161275	0.002217244	0.002585639	0.002579777	0.002593439	0.002124525	0.002442962	0.002735954
PG38:4	5.27E-05	6.34E-05	8.54E-05	8.01E-05	7.08E-05	0.000269828	0.000205726	0.000231559	0.000166124	0.000254361	0.001037366	0.001219941	0.001019745	0.000933161	0.000989096	0.001484936	0.00157602	0.001369217	0.001490346	0.001496183	0.001723271	0.001685969	0.001203677	0.001280034	0.001428013
PG38:3	2.35E-05	3.89E-05	3.57E-05	3.68E-05	4.24E-05	8.02E-05	5.88E-05	6.86E-05	6.67E-05	8.30E-05	0.000210381	0.000261437	0.000196088	0.000197144	0.000193642	0.000277919	0.000281669	0.000267877	0.000307494	0.000255946	0.00026683	0.000303467	0.000187695	0.000205361	0.000216504
LBPA34:3(16:1/18:2)	4.61E-07	9.23E-07	6.36E-07	6.12E-07	3.64E-07	1.37E-06	8.15E-07	1.25E-06	7.25E-07	5.46E-07	5.37E-06	4.66E-06	4.91E-06	3.92E-06	3.46E-06	2.82E-06	5.25E-06	5.10E-06	4.42E-06	2.42E-06	2.24E-06	2.61E-06	2.14E-06	2.62E-06	2.03E-06
LBPA34:2(16:0/18:2)	1.38E-05	2.00E-05	1.87E-05	2.08E-05	1.69E-05	9.75E-05	6.28E-05	9.65E-05	6.72E-05	5.22E-05	0.000565039	0.00052168	0.00054866	0.000460095	0.000413524	0.000112371	0.000368489	0.000318223	0.000310705	5.14E-05	4.63E-05	6.51E-05	4.12E-05	3.84E-05	4.47E-05
LBPA36:3(18:1/18:2)	5.89E-05	8.55E-05	7.75E-05	8.33E-05	7.70E-05	0.000297771	0.000202299	0.000237832	0.000185164	0.000191159	0.000794085	0.000822905	0.000809585	0.000651677	0.000584996	0.000627747	0.000951216	0.000924906	0.000898516	0.000490233	0.000455055	0.000606955	0.000418599	0.000382883	0.000501159
LBPA36:2(18:0/18:2)	6.49E-06	9.86E-06	8.51E-06	8.16E-06	7.23E-06	2.43E-05	1.22E-05	1.76E-05	1.29E-05	1.49E-05	9.14E-05	0.000110475	9.97E-05	8.65E-05	7.82E-05	0.000160423	0.000209912	0.000202328	0.000184438	0.000128845	0.000131069	0.000165439	0.0001542	0.00012676	0.000164343
LBPA36:4(16:0/20:4)	2.30E-06	4.39E-06	3.44E-06	4.07E-06	3.70E-06	3.55E-05	2.14E-05	3.33E-05	2.48E-05	2.91E-05	0.000613585	0.00071502	0.000583074	0.000491421	0.000478063	0.000247513	0.000513361	0.000475703	0.000483996	0.000521658	0.000581388	0.000690561	0.000288537	0.000296706	0.000331401
LBPA36:4(16:1/20:3)	2.50E-06	2.99E-06	3.25E-06	2.94E-06	2.51E-06	8.96E-06	5.97E-06	7.83E-06	5.27E-06	5.84E-06	3.63E-05	3.94E-05	3.51E-05	2.65E-05	2.60E-05	9.55E-06	2.66E-05	2.19E-05	2.26E-05	1.48E-05	1.58E-05	2.00E-05	8.56E-06	8.79E-06	1.02E-05
LBPA36:3(16:0/20:3)	1.38E-06	2.73E-06	2.24E-06	2.35E-06	1.58E-06	2.22E-05	1.35E-05	1.81E-05	1.34E-05	1.59E-05	0.000212482	0.000221702	0.000189615	0.000175915	0.000154703	0.000108347	0.000215948	0.000198328	0.000204945	0.000310569	0.000320728	0.000378275	0.000165568	0.000151933	0.000175975
LBPA38:6(16:0/22:6)	2.27E-06	3.69E-06	2.52E-06	2.73E-06	2.40E-06	5.23E-05	3.23E-05	5.35E-05	3.86E-05	4.37E-05	0.000357676	0.000349165	0.000333789	0.000311145	0.000314397	0.000247977	0.000554162	0.000494276	0.000489965	0.000121925	0.000119793	0.000152067	0.000118951	0.000103744	9.35E-05
LBPA38:6(16:1/22:5)	1.82E-06	2.92E-06	2.26E-06	2.52E-06	2.00E-06	1.09E-05	8.26E-06	9.99E-06	7.98E-06	8.20E-06	3.65E-05	3.47E-05	3.96E-05	3.00E-05	3.20E-05	1.14E-05	2.82E-05	2.77E-05	2.57E-05	1.11E-05	9.77E-06	1.21E-05	7.06E-06	6.45E-06	7.25E-06
LBPA38:6(18:2/20:4)	1.17E-05	1.82E-05	1.64E-05	1.67E-05	1.62E-05	3.31E-05	2.19E-05	2.56E-05	2.46E-05	2.32E-05	8.53E-05	9.73E-05	8.85E-05	7.03E-05	6.89E-05	9.60E-05	0.00014682	0.000145521	0.000123159	0.000189628	0.000160102	0.000220563	0.000115325	0.000121229	0.000132725
LBPA38:5(16:0/22:5)	1.27E-06	2.10E-06	1.72E-06	2.41E-06	1.66E-06	3.97E-05	2.56E-05	4.13E-05	2.83E-05	3.34E-05	0.000247974	0.000236886	0.000262493	0.000227693	0.000220667	0.000132103	0.000284037	0.000279195	0.000233437	0.000138958	0.000141581	0.000175954	0.000101475	9.41E-05	9.18E-05
LBPA38:5(18:1/20:4)	3.06E-05	4.69E-05	3.71E-05	4.32E-05	3.79E-05	0.000111557	7.38E-05	9.04E-05	7.42E-05	6.66E-05	0.000503092	0.000487593	0.000526021	0.000389544	0.000369913	0.000254369	0.000508869	0.000504226	0.000411725	0.00033396	0.000294424	0.000404057	0.000159013	0.000147133	0.000165214
LBPA38:4(18:0/20:4)	9.38E-06	1.44E-05	1.19E-05	1.31E-05	1.25E-05	3.15E-05	1.91E-05	2.40E-05	2.00E-05	2.01E-05	0.000186139	0.000193767	0.000161703	0.000125537	0.000127963	0.000176354	0.000249228	0.000236603	0.000210171	0.000218738	0.000233112	0.000269776	0.000113126	0.000110342	0.000130794
LBPA38:3(18:0/20:3)	4.28E-06	5.61E-06	5.51E-06	5.39E-06	5.68E-06	1.42E-05	1.06E-05	1.19E-05	8.63E-06	1.01E-05	5.90E-05	6.33E-05	5.76E-05	5.42E-05	4.63E-05	6.82E-05	0.000110899	9.59E-05	8.75E-05	0.000116761	0.000120838	0.000132699	6.60E-05	5.63E-05	7.20E-05
LBPA32:2	7.05E-06	1.08E-05	1.81E-05	1.17E-05	3.68E-06	2.13E-05	2.37E-05	1.55E-05	1.43E-05	1.06E-05	0.000163482	0.000156464	0.000174333	0.000130241	0.000119258	5.28E-05	0.000158275	0.000104536	9.72E-05	3.22E-05	5.81E-05	4.55E-05	5.08E-05	5.18E-05	4.54E-05
LBPA32:1	1.18E-05	2.37E-05	1.12E-05	8.51E-06	1.23E-05	4.88E-05	3.82E-05	4.79E-05	3.83E-05	3.58E-05	0.001117841	0.000961072	0.00100534	0.000794724	0.000721106	0.000260359	0.000959502	0.000690246	0.000794204	0.00021281	0.000183807	0.000205324	0.000190827	0.000186615	0.000198108
LBPA34:3	4.00E-05	2.80E-05	2.23E-05	2.02E-05	2.33E-05	5.17E-05	3.30E-05	3.37E-05	3.65E-05	3.66E-05	0.000350914	0.000276895	0.000320389	0.000218139	0.000263415	0.000152067	0.000370929	0.000318301	0.000305999	0.000183143	0.00015771	0.000189139	0.000182488	0.000153114	0.000148816
LBPA34:2	2.47E-05	4.30E-05	5.30E-05	4.89E-05	4.78E-05	0.000253276	0.000161013	0.000224019	0.00015242	0.000134188	0.00204601	0.001553737	0.002018714	0.001577653	0.00137621	0.001000646	0.002198113	0.002041577	0.001868578	0.001164322	0.001163034	0.001302203	0.001322657	0.001192946	0.001322452
LBPA34:1	0.000143453	0.000120407	0.000136656	9.25E-05	0.000112743	0.00040882	0.000325127	0.000358694	0.000301276	0.000299287	0.002739569	0.00218202	0.002699851	0.002367623	0.00183826	0.001281266	0.002979365	0.003170545	0.002491644	0.001375713	0.001249442	0.001323146	0.001151725	0.001013631	0.001320157
LBPA36:4	4.94E-05	4.73E-05	6.14E-05	7.66E-05	8.33E-05	0.000226913	0.000174434	0.00021886	0.000174714	0.00015289	0.00189893	0.001782827	0.001998359	0.001464232	0.001463029	0.001092787	0.001945423	0.002239472	0.001844102	0.002239796	0.00209571	0.00245912	0.001340544	0.001225462	0.001524772
LBPA36:3	9.99E-05	0.000165571	0.000125507	0.000129723	0.000126236	0.000519237	0.000364405	0.000437758	0.000361968	0.000354664	0.002018017	0.001816173	0.001897609	0.001670034	0.001511651	0.001410837	0.002311753	0.002789456	0.002243355	0.001919421	0.001840394	0.001892349	0.001182214	0.001057026	0.001329568
LBPA36:2	0.00017286	0.000219324	0.0001813	0.000206293	0.000227974	0.000864749	0.000688795	0.000742254	0.000591265	0.000541863	0.003135242	0.002344717	0.003064126	0.002549528	0.002392968	0.001604715	0.002830187	0.003142056	0.002634654	0.001436717	0.001309296	0.001303948	0.000933204	0.000822794	0.001005814
LBPA36:1	6.70E-05	7.96E-05	4.74E-05	7.34E-05	6.86E-05	0.00017688	0.000140368	0.000107472	0.000162224	0.000143945	0.000840888	0.000567008	0.000803132	0.00066542	0.000625064	0.000626098	0.000983081	0.001090931	0.000828438	0.000465681	0.000445971	0.000456231	0.000361713	0.000302266	0.000439772
LBPA38:6	8.11E-05	0.000129018	0.000100408	0.000112707	0.000115206	0.000604332	0.000408874	0.000515612	0.000397697	0.00044346	0.003837615	0.003021365	0.003392403	0.002694473	0.002534353	0.002395462	0.005272332	0.00606551	0.004844656	0.002012595	0.001973257	0.002339884	0.001591204	0.001509066	0.001548053
LBPA38:5	0.000121125	0.000193522	0.000114352	0.000152066	0.000121346	0.000586247	0.000404741	0.000490934	0.000403976	0.000363706	0.003145441	0.002336446	0.002749651	0.002036692	0.001966145	0.001579854	0.003146606	0.003609435	0.002726638	0.002187471	0.002110709	0.002270775	0.001191678	0.0012021	0.001309374
LBPA38:4	8.11E-05	0.000105356	0.000117141	8.40E-05	6.50E-05	0.000308391	0.000240524	0.000278451	0.000231797	0.000233449	0.001332678	0.001161125	0.001361713	0.001058605	0.001045542	0.000918862	0.001529905	0.001734499	0.001336459	0.00147852	0.001318005	0.001548286	0.00072224	0.000610528	0.000710819
LBPA38:3	4.12E-05	9.03E-05	5.30E-05	6.49E-05	5.15E-05	0.00019376	0.000145533	0.000185183	0.000154203	0.000137445	0.000444737	0.0003832	0.00047278	0.000387275	0.000318144	0.000288141	0.000463268	0.000542953	0.000364222	0.00041028	0.000349935	0.000388477	0.000193343	0.000190618	0.000258061
SL d18:1/20:1	0.000968324	0.000786023	0.00194408	0.000787365	0.001420033	0.000768076	0.000698353	0.00131409	0.000735447	0.00065013	0.000368048	0.000100497	0.000332791	0.000357196	0.000389521	0.000526463	0.000294744	0.000160016	0.000306872	0.000424259	0.000462479	0.000326142	0.000621693	0.000772053	0.000971444
SL d18:1/20:0	0.001223146	0.000786023	0.001404058	0.000733064	0.001511648	0.000503222	0.000514576	0.000766553	0.000574568	0.000752782	0.000570474	0.000318242	0.000313215	0.000243543	0.000367881	0.000335022	0.000294744	0.000160016	0.000388704	0.000601033	0.000498054	0.000326142	0.000740111	0.000958411	0.000838974
SL d18:1/22:1	0.002497256	0.001796625	0.002862118	0.001819084	0.002977717	0.001377373	0.001617422	0.002025889	0.001126153	0.002224301	0.000791395	0.000703483	0.000665582	0.000535794	0.000562641	0.000598254	0.000353693	0.000306698	0.000552369	0.000813163	0.000924957	0.001245268	0.000828924	0.000692186	0.001192227
SL d18:1/22:0	0.001885683	0.002189636	0.002808386	0.00160188	0.002519413	0.002304362	0.001837955	0.00175212	0.00165487	0.002874431	0.000570474	0.000854229	0.000606855	0.000746865	0.000692482	0.001052926	0.000854757	0.000493383	0.000818325	0.001308131	0.00128071	0.001334364	0.001184178	0.001677219	0.001368853
FFA22:6	0.004067543	0.004856746	0.003946548	0.004018565	0.004398564	0.001496245	0.001259759	0.00231282	0.001728703	0.00311804	0.001480233	0.00195988	0.00219966	0.001381845	0.00194374	0.002815999	0.004384874	0.003625057	0.004940618	0.002370058	0.004531875	0.003815865	0.002847858	0.00274128	0.00341999
FFA22:5	0.001240519	0.001591736	0.00113237	0.001149505	0.001325176	0.000438046	0.000403431	0.000918279	0.000543479	0.001018873	0.00046688	0.000698456	0.000636779	0.000498779	0.000637606	0.00087676	0.001279878	0.001059417	0.001445382	0.001086724	0.002210291	0.001601297	0.001170875	0.001070338	0.001489703
FFA22:4	0.001070994	0.001274908	0.001123512	0.000898327	0.001141509	0.000204991	0.0003289	0.000614092	0.000403194	0.000750679	0.000281079	0.000323506	0.000395854	0.0002553	0.000353178	0.000511678	0.000595399	0.000499122	0.000720143	0.000541902	0.000982705	0.000761226	0.000534949	0.000655534	0.000809505
FFA20:5	0.000345512	0.000571145	0.000368216	0.000380933	0.00035423	0.000113495	0.000211314	0.000330588	0.000221526	0.000296317	0.000158841	0.000199598	0.000213742	0.000176055	0.000228929	0.000326881	0.000453007	0.00030856	0.000431163	0.00038938	0.000926172	0.00049525	0.000343304	0.000349362	0.000438175
FFA20:4	0.002879809	0.003111375	0.00254722	0.002404653	0.003023971	0.00178672	0.001128508	0.003021392	0.001347928	0.003949788	0.00077275	0.000942839	0.001128776	0.000827182	0.00178869	0.002657897	0.0039615	0.002558021	0.003988193	0.001716599	0.006502309	0.002896048	0.003005523	0.003419182	0.00355053
FFA20:3	0.000646076	0.00107079	0.000886647	0.000673451	0.000762568	0.000217489	0.000345276	0.000569786	0.000437148	0.000613881	0.00024939	0.000235259	0.000290291	0.000203667	0.000276952	0.000357347	0.000409837	0.000327778	0.000444377	0.000336111	0.000651464	0.000504009	0.000396171	0.000413206	0.000459343
FFA18:2	0.020693551	0.031384291	0.027268936	0.027081582	0.028204849	0.01015635	0.008727866	0.0197613	0.011339362	0.023598833	0.007573293	0.009883385	0.011347006	0.009713624	0.010996539	0.020300231	0.027276405	0.017023941	0.025799924	0.017418476	0.052755348	0.026814637	0.022109527	0.02845006	0.030180662
FFA18:1	0.018314594	0.025564354	0.020641172	0.018584009	0.017958254	0.006735725	0.007070106	0.015396299	0.008000666	0.015055192	0.006290283	0.007156135	0.006058618	0.006153335	0.007420004	0.00872571	0.011800484	0.008523824	0.011169673	0.007527415	0.016595357	0.008051533	0.007827331	0.008656218	0.011087874
FFA18:0	0.219882114	0.429606008	0.333573344	0.269325177	0.240838616	0.058339225	0.123855692	0.127666304	0.132666882	0.123724797	0.074037558	0.067990265	0.071898458	0.060665629	0.074420262	0.075968438	0.075421629	0.064327738	0.076812516	0.082538565	0.106868868	0.102764897	0.106119697	0.104719992	0.111449792
FFA16:0	0.228927612	0.395684908	0.316916594	0.273865381	0.244404724	0.058498875	0.117977467	0.140099771	0.117892126	0.120501582	0.073199805	0.071907705	0.071737543	0.062745644	0.068840294	0.073115332	0.081370563	0.067687782	0.078640056	0.08859733	0.11641923	0.108524156	0.098361888	0.10322321	0.110342153
FFA14:0	0.011823143	0.021796802	0.01552727	0.014182593	0.013403966	0.003188807	0.006387255	0.008303322	0.007712873	0.005818173	0.004676022	0.004259199	0.003858869	0.003981179	0.004114449	0.003469927	0.004411701	0.003391104	0.0038226	0.005300056	0.008007823	0.006648794	0.006261496	0.006458024	0.006142452
FFA12:0	0.011886753	0.020426835	0.017136281	0.018050091	0.009926053	0.003293702	0.009751534	0.011940116	0.01059081	0.009180971	0.006621122	0.004770302	0.005286651	0.005338399	0.004417974	0.006146728	0.004084909	0.005401758	0.006745952	0.007215202	0.007959633	0.009349866	0.007965221	0.007579208	0.008689322
CL66:4(16:1)	0.000333574	0.000355243	0.000461405	0.000455712	0.000357853	0.000879721	0.000653857	0.000739397	0.000547508	0.000618046	0.000387999	0.000332332	0.000471895	0.000248816	0.000364031	5.80E-05	0.00015104	0.000129562	0.000126907	5.35E-05	5.44E-05	5.98E-05	2.14E-05	2.38E-05	2.87E-05
CL68:8(16:1)	9.80E-07	3.00E-06	3.86E-06	3.04E-06	1.40E-06	1.98E-06	2.96E-06	3.89E-06	2.33E-06	1.94E-06	2.60E-06	2.32E-06	3.63E-06	3.07E-06	2.93E-06	1.23E-06	2.06E-06	1.20E-06	2.40E-06	3.57E-06	5.40E-06	4.12E-06	2.69E-06	6.32E-06	4.67E-06
